Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,34.810246,35.094875,34.677418,34.762810,28.517651,17827567
2016-07-19,34.791271,34.981026,34.677418,34.762810,28.517651,17614975
2016-07-20,35.009487,35.037952,34.800758,34.800758,28.548773,12937112
2016-07-21,34.791271,34.933586,34.648956,34.829224,28.572130,13772091
2016-07-22,34.914612,34.952560,34.800758,34.857685,28.595470,14209501
2016-07-25,34.914612,34.952560,34.639469,34.895638,28.626608,12833293
2016-07-26,34.943073,34.981026,34.772297,34.943073,28.665527,12773953
2016-07-27,34.867172,35.028461,34.772297,34.962048,28.681089,15877456
2016-07-28,34.990513,35.018974,34.629982,34.791271,28.540991,17134878
2016-07-29,34.800758,35.056927,34.772297,35.000000,28.712227,22675545
2016-08-01,35.123341,35.474384,35.085388,35.398483,29.039120,29911044
2016-08-02,34.876659,34.933586,34.278938,34.525616,28.323069,34914488
2016-08-03,34.070210,34.108158,33.263756,33.481972,27.695232,44941190
2016-08-04,33.681213,33.700191,33.349148,33.349148,27.585360,26482593
2016-08-05,33.548386,33.709679,33.415562,33.624287,27.812948,28665006
2016-08-08,33.472485,33.472485,32.931690,33.140415,27.412708,32189687
2016-08-09,33.197342,33.491463,33.111954,33.282730,27.530424,18054388
2016-08-10,33.368122,33.377609,33.121441,33.330170,27.569658,14887328
2016-08-11,33.330170,33.472485,33.301708,33.349148,27.585360,14106841
2016-08-12,33.282730,33.311195,32.969639,33.187855,27.451939,15840777
2016-08-15,33.254269,33.368122,33.140415,33.311195,27.553968,13021116
2016-08-16,33.149906,33.282730,32.988613,33.007591,27.302837,15944174
2016-08-17,32.969639,33.349148,32.969639,33.339657,27.577509,17961109
2016-08-18,33.339657,33.548386,33.197342,33.387096,27.616751,17002390
2016-08-19,33.263756,33.320683,33.045540,33.187855,27.451939,20624777
2016-08-22,33.017078,33.472485,32.979126,33.055027,27.342072,27448690
2016-08-23,33.206833,33.462997,33.121441,33.292221,27.538275,17873627
2016-08-24,33.425049,33.567364,32.979126,33.036053,27.326380,23755157
2016-08-25,32.979126,33.387096,32.884251,32.988613,27.287138,19083092
2016-08-26,33.017078,33.301708,32.884251,33.036053,27.326380,19785688
2016-08-29,33.149906,33.368122,33.036053,33.311195,27.553968,15941645
2016-08-30,33.311195,33.377609,33.064514,33.092979,27.373466,15274779
2016-08-31,33.074005,33.149906,32.836811,33.017078,27.310684,21919616
2016-09-01,32.950665,33.149906,32.836811,32.903225,27.216511,16780945
2016-09-02,32.998100,33.055027,32.836811,32.988613,27.287138,15215333
2016-09-06,33.092979,33.197342,32.969639,32.988613,27.287138,17882059
2016-09-07,32.941177,33.102467,32.903225,33.055027,27.342072,15615537
2016-09-08,32.931690,33.026566,32.846298,32.941177,27.247902,19216212
2016-09-09,32.779884,32.817837,32.343452,32.352940,26.761333,23595055
2016-09-12,32.258064,32.950665,32.201138,32.874763,27.192963,20472685
2016-09-13,32.675522,32.675522,32.115749,32.296017,26.714239,21878510
2016-09-14,32.371918,32.590134,32.125237,32.201138,26.635765,19924921
2016-09-15,32.153702,32.571156,31.831120,32.390892,26.792723,21890104
2016-09-16,32.438332,32.466793,32.096775,32.201138,26.635765,26998737
2016-09-19,32.248577,32.286530,31.869070,31.925997,26.408176,18489584
2016-09-20,32.106262,32.201138,31.878557,32.077801,26.533743,14875313
2016-09-21,32.163189,32.571156,32.011387,32.523720,26.902592,16397500
2016-09-22,32.571156,32.666035,32.324478,32.400379,26.800568,17641220
2016-09-23,32.409866,32.609108,32.267551,32.504745,26.886896,13635703
2016-09-26,32.182163,32.267551,31.707781,31.916510,26.400326,31119982
2016-09-27,32.049335,32.144215,31.764706,32.096775,26.549437,16453572
2016-09-28,32.115749,32.258064,31.963947,32.248577,26.675007,15080421
2016-09-29,32.201138,32.324478,31.593927,31.612904,26.149197,26396376
2016-09-30,31.726755,32.277039,31.688805,32.134724,26.580828,30138076
2016-10-03,32.001900,32.001900,31.669828,31.954458,26.431715,18862384
2016-10-04,31.888046,32.172676,31.793169,31.992411,26.463114,22029759
2016-10-05,32.001900,32.239090,31.954458,32.163189,26.604372,14698346
2016-10-06,32.049335,32.068310,31.755219,31.925997,26.408176,16809824
2016-10-07,31.973434,32.258064,31.707781,31.840607,26.337542,15619964
2016-10-10,31.925997,32.106262,31.850096,31.888046,26.376789,17268420
2016-10-11,31.840607,31.850096,31.252373,31.432638,26.000080,18268033
2016-10-12,31.442125,31.537003,31.252373,31.375711,25.952997,15956295
2016-10-13,30.901327,31.214420,30.853889,31.081594,25.709713,25488144
2016-10-14,31.053131,31.214420,30.986717,30.986717,25.631231,16410042
2016-10-17,30.910816,31.034157,30.815939,30.834915,25.505669,17837369
2016-10-18,31.062618,31.185959,30.939280,31.015181,25.654781,15624074
2016-10-19,31.072105,31.166983,30.825426,30.929790,25.584146,17247445
2016-10-20,30.825426,31.062618,30.825426,30.872866,25.537062,20334190
2016-10-21,30.759012,30.787476,30.531309,30.531309,25.254536,19852090
2016-10-24,30.645161,30.702087,30.407970,30.483871,25.215296,20644066
2016-10-25,30.379507,30.711575,30.351044,30.626186,25.333012,20380249
2016-10-26,30.626186,30.929790,30.502846,30.740038,25.427185,18026246
2016-10-27,30.910816,31.129032,30.711575,30.815939,25.489973,19238662
2016-10-28,30.853889,30.891842,30.246679,30.294119,25.058336,30048170
2016-10-31,30.398481,30.398481,29.990513,30.085388,24.885681,37890668
2016-11-01,29.354839,30.094877,29.174574,29.478178,24.383415,57285005
2016-11-02,29.402277,29.449715,28.804554,29.060720,24.038115,38033063
2016-11-03,29.127134,29.127134,28.301708,28.358635,23.457363,38290977
2016-11-04,28.377609,28.814041,28.368120,28.462997,23.543692,36919723
2016-11-07,28.681213,28.880455,28.538898,28.823528,23.841911,32544885
2016-11-08,28.586338,28.889942,28.425047,28.462997,23.778502,37365670
2016-11-09,31.318787,31.660341,29.886148,30.474382,25.458853,125166505
2016-11-10,31.612904,32.096775,31.166983,31.774195,26.544739,70908061
2016-11-11,31.518026,31.631880,30.540796,30.920303,25.831383,37736994
2016-11-14,31.166983,31.214420,30.483871,30.721064,25.664930,32219094
2016-11-15,31.081594,31.081594,30.246679,30.578749,25.546041,31213472
2016-11-16,30.550285,30.673624,30.294119,30.322580,25.332031,23864246
2016-11-17,30.370020,30.474382,30.056927,30.104364,25.149731,27502549
2016-11-18,30.313093,30.313093,29.829222,29.867172,24.951576,25460846
2016-11-21,29.895636,30.066414,29.876659,29.952562,25.022919,23053931
2016-11-22,30.294119,30.351044,29.459204,29.724857,24.832682,27862279
2016-11-23,29.582542,29.838711,29.060720,29.810247,24.904018,22399924
2016-11-25,29.981026,30.113852,29.933586,30.066414,25.118027,11017357
2016-11-28,30.066414,30.208729,29.886148,29.924099,24.999136,18692901
2016-11-29,30.218216,30.332067,29.990513,30.284630,25.300327,22810879
2016-11-30,30.341557,30.711575,30.123341,30.493359,25.474705,40599553
2016-12-01,30.597723,30.597723,29.791271,29.848198,24.935724,32259146
2016-12-02,29.924099,30.104364,29.753321,30.009487,25.070465,20034221
2016-12-05,30.113852,30.142315,29.781784,29.971537,25.038769,20342516
2016-12-06,30.028463,30.075901,29.819735,29.943073,25.014990,18662967
2016-12-07,29.724857,29.724857,29.041746,29.592030,24.721718,46432600
2016-12-08,29.259962,29.506641,28.946869,29.354839,24.523561,37409622
2016-12-09,29.516129,30.284630,29.497154,30.075901,25.125954,30935743
2016-12-12,30.075901,30.977230,30.037951,30.740038,25.680780,33997508
2016-12-13,31.129032,31.195446,30.891842,31.148008,26.021610,30313356
2016-12-14,31.233397,31.593927,30.967743,31.138519,26.013678,38309843
2016-12-15,30.958254,31.271347,30.929790,31.072105,25.958199,22004463
2016-12-16,31.195446,31.252373,30.853889,31.157495,26.029537,39615012
2016-12-19,31.081594,31.280834,31.043644,31.148008,26.021610,26276958
2016-12-20,31.100569,31.195446,30.901327,31.166983,26.037464,26428312
2016-12-21,31.053131,31.242884,30.673624,30.740038,25.680780,19751644
2016-12-22,30.635674,30.768501,30.407970,30.683111,25.633226,19618418
2016-12-23,30.749525,30.891842,30.702087,30.815939,25.744192,11387943
2016-12-27,30.901327,31.043644,30.815939,30.863379,25.783827,11826302
2016-12-28,30.834915,31.015181,30.683111,30.692600,25.641155,14691495
2016-12-29,30.730551,30.948767,30.711575,30.825426,25.752121,14827250
2016-12-30,30.683111,30.929790,30.654650,30.815939,25.744192,19885396
2017-01-03,31.024668,31.309298,30.920303,31.309298,26.156353,23391844
2017-01-04,31.432638,31.641365,31.337761,31.584440,26.386215,22753963
2017-01-05,31.660341,31.963947,31.423149,31.888046,26.639853,21083584
2017-01-06,31.935484,31.973434,31.631880,31.764706,26.536810,18418228
2017-01-09,31.717268,31.944971,31.669828,31.755219,26.528883,21559886
2017-01-10,31.869070,31.935484,31.612904,31.726755,26.505108,20444754
2017-01-11,31.660341,31.821632,30.740038,31.148008,26.021610,42623128
2017-01-12,30.863379,30.948767,30.645161,30.929790,25.839308,33475989
2017-01-13,30.996204,31.100569,30.673624,30.853889,25.775902,21386925
2017-01-17,30.692600,30.721064,30.151802,30.417458,25.411289,33838143
2017-01-18,30.445921,30.626186,30.313093,30.388994,25.387516,22629064
2017-01-19,30.417458,30.445921,29.914612,30.075901,25.125954,27555881
2017-01-20,30.094877,30.474382,30.037951,30.142315,25.181438,31788324
2017-01-23,30.056927,30.189753,29.829222,29.848198,24.935724,26098094
2017-01-24,29.791271,29.848198,29.316889,29.554079,24.690012,31225172
2017-01-25,29.753321,29.905123,29.506641,29.686907,24.800980,33905283
2017-01-26,29.791271,29.857685,29.601519,29.677420,24.793053,28653517
2017-01-27,29.857685,29.924099,29.658443,29.810247,24.904018,25353654
2017-01-30,29.857685,29.886148,29.468691,29.705881,24.816828,28947899
2017-01-31,29.421251,30.294119,29.345350,30.104364,25.149731,39472300
2017-02-01,29.895636,30.066414,29.658443,30.047438,25.357912,30031938
2017-02-02,29.857685,30.104364,29.715370,30.104364,25.405952,24634404
2017-02-03,30.407970,30.588236,30.284630,30.445921,25.694201,37935252
2017-02-06,30.360531,30.673624,30.303604,30.578749,25.806301,25859258
2017-02-07,30.664137,30.692600,30.303604,30.436434,25.686195,24781648
2017-02-08,30.284630,30.692600,30.284630,30.493359,25.734238,20194745
2017-02-09,30.493359,30.872866,30.493359,30.721064,25.926401,25102380
2017-02-10,30.749525,30.787476,30.578749,30.692600,25.902384,23090189
2017-02-13,30.777988,31.015181,30.777988,30.939280,26.110561,21733585
2017-02-14,30.863379,31.091082,30.692600,31.072105,26.222656,24205532
2017-02-15,31.100569,31.859583,31.015181,31.793169,26.831184,48035523
2017-02-16,31.736242,32.153702,31.518026,31.897533,26.919262,40402244
2017-02-17,31.869070,32.153702,31.812143,31.897533,26.919262,36882306
2017-02-21,31.850096,32.068310,31.764706,31.897533,26.919262,25391598
2017-02-22,31.850096,32.020874,31.546490,31.869070,26.895239,28676494
2017-02-23,31.973434,32.371918,31.859583,32.314991,27.271564,32122863
2017-02-24,32.419353,32.590134,32.248577,32.504745,27.431704,26046448
2017-02-27,32.476280,32.694496,32.409866,32.523720,27.447718,23009136
2017-02-28,32.352940,32.504745,32.172676,32.371918,27.319609,28964658
2017-03-01,32.514233,32.760910,32.305504,32.656548,27.559814,34034925
2017-03-02,32.694496,32.969639,32.656548,32.741936,27.631880,26952993
2017-03-03,32.741936,32.874763,32.599621,32.751423,27.639887,19800760
2017-03-06,32.571156,32.703983,32.333965,32.590134,27.503769,19174263
2017-03-07,32.134724,32.447819,32.020874,32.248577,27.215515,30783335
2017-03-08,32.172676,32.352940,31.992411,32.172676,27.151457,23870360
2017-03-09,32.144215,32.390892,32.049335,32.305504,27.263554,20199594
2017-03-10,32.390892,32.561668,32.258064,32.362431,27.311604,20214666
2017-03-13,32.390892,32.400379,32.172676,32.362431,27.311604,19988056
2017-03-14,32.277039,32.571156,32.239090,32.466793,27.399677,15563469
2017-03-15,32.466793,32.922199,32.428844,32.855785,27.727957,24279839
2017-03-16,32.798862,32.855785,32.495255,32.666035,27.567820,21816219
2017-03-17,32.694496,32.808350,32.514233,32.561668,27.479744,45736117
2017-03-20,32.637569,32.732449,32.561668,32.618595,27.527786,18435514
2017-03-21,32.713470,32.836811,32.428844,32.495255,27.423695,33083479
2017-03-22,32.542694,32.770397,32.248577,32.703983,27.599850,27528267
2017-03-23,32.561668,32.789375,32.476280,32.533207,27.455723,21378704
2017-03-24,32.514233,32.514233,32.201138,32.258064,27.223520,28583110
2017-03-27,32.011387,32.552181,32.011387,32.428844,27.367645,18852055
